NumTree,Number_bridges_Of_Question_i,Gender,Age,Number_of_bridges,Delta_Learning_Minutes,depth,Accuracy,correct_model,QuestionId
1,1,Female,35,2,0.416666667,1,72,1,9
1,1,Female,35,2,0.416666667,1,72,1,10
1,1,Female,35,2,0.416666667,1,72,1,11
1,1,Female,35,2,0.416666667,1,72,1,12
1,1,Female,46,2,0.116666667,1,72,1,1
1,1,Female,46,2,0.116666667,1,72,1,2
1,1,Female,46,2,0.116666667,1,72,1,3
1,1,Female,46,2,0.116666667,1,72,0,4
1,1,Female,46,2,0.116666667,1,72,1,5
1,1,Female,46,2,0.116666667,1,72,0,6
1,1,Female,46,2,0.116666667,1,72,0,7
1,1,Female,46,2,0.116666667,1,72,1,8
1,1,Female,46,2,0.116666667,1,72,1,9
1,1,Female,46,2,0.116666667,1,72,0,10
1,1,Female,46,2,0.116666667,1,72,0,11
1,1,Female,46,2,0.116666667,1,72,1,12
1,1,Male,34,2,7.5,1,72,1,1
1,1,Male,34,2,7.5,1,72,1,2
1,1,Male,34,2,7.5,1,72,1,3
1,1,Male,34,2,7.5,1,72,1,4
1,1,Male,34,2,7.5,1,72,1,5
1,1,Male,34,2,7.5,1,72,1,6
1,1,Male,34,2,7.5,1,72,1,7
1,1,Male,34,2,7.5,1,72,1,8
1,1,Male,34,2,7.5,1,72,1,9
1,1,Male,34,2,7.5,1,72,1,10
1,1,Male,34,2,7.5,1,72,1,11
1,1,Male,34,2,7.5,1,72,1,12
1,1,Male,45,2,0.716666667,1,72,1,1
1,1,Male,45,2,0.716666667,1,72,1,2
1,1,Male,45,2,0.716666667,1,72,1,3
1,1,Male,45,2,0.716666667,1,72,0,4
1,1,Male,45,2,0.716666667,1,72,0,5
1,1,Male,45,2,0.716666667,1,72,1,6
1,1,Male,45,2,0.716666667,1,72,1,7
1,1,Male,45,2,0.716666667,1,72,1,8
1,1,Male,45,2,0.716666667,1,72,0,9
1,1,Male,45,2,0.716666667,1,72,1,10
1,1,Male,45,2,0.716666667,1,72,0,11
1,1,Male,45,2,0.716666667,1,72,1,12
1,1,Female,25,2,1.133333333,1,72,1,1
1,1,Female,25,2,1.133333333,1,72,1,2
1,1,Female,25,2,1.133333333,1,72,1,3
1,1,Female,25,2,1.133333333,1,72,1,4
1,1,Female,25,2,1.133333333,1,72,1,5
1,1,Female,25,2,1.133333333,1,72,1,6
1,1,Female,25,2,1.133333333,1,72,1,7
1,1,Female,25,2,1.133333333,1,72,1,8
1,1,Female,25,2,1.133333333,1,72,1,9
1,1,Female,25,2,1.133333333,1,72,1,10
1,1,Female,25,2,1.133333333,1,72,1,11
1,1,Female,25,2,1.133333333,1,72,1,12
1,1,Female,25,2,1.016666667,1,72,1,1
1,1,Female,25,2,1.016666667,1,72,1,2
1,1,Female,25,2,1.016666667,1,72,1,3
1,1,Female,25,2,1.016666667,1,72,1,4
1,1,Female,25,2,1.016666667,1,72,1,5
1,1,Female,25,2,1.016666667,1,72,1,6
1,1,Female,25,2,1.016666667,1,72,1,7
1,1,Female,25,2,1.016666667,1,72,1,8
1,1,Female,25,2,1.016666667,1,72,1,9
1,1,Female,25,2,1.016666667,1,72,1,10
1,1,Female,25,2,1.016666667,1,72,1,11
1,1,Female,25,2,1.016666667,1,72,1,12
1,1,Female,25,2,0.5,1,72,1,1
1,1,Female,25,2,0.5,1,72,1,2
1,1,Female,25,2,0.5,1,72,1,3
1,1,Female,25,2,0.5,1,72,1,4
1,1,Female,25,2,0.5,1,72,1,5
1,1,Female,25,2,0.5,1,72,1,6
1,1,Female,25,2,0.5,1,72,1,7
1,1,Female,25,2,0.5,1,72,1,8
1,1,Female,25,2,0.5,1,72,1,9
1,1,Female,25,2,0.5,1,72,1,10
1,1,Female,25,2,0.5,1,72,1,11
1,1,Female,25,2,0.5,1,72,1,12
1,1,Female,35,2,0.433333333,1,72,1,1
1,1,Female,35,2,0.433333333,1,72,1,2
1,1,Female,35,2,0.433333333,1,72,1,3
1,1,Female,35,2,0.433333333,1,72,1,4
1,1,Female,35,2,0.433333333,1,72,1,5
1,1,Female,35,2,0.433333333,1,72,1,6
1,1,Female,35,2,0.433333333,1,72,1,7
1,1,Female,35,2,0.433333333,1,72,1,8
1,1,Female,35,2,0.433333333,1,72,1,9
1,1,Female,35,2,0.433333333,1,72,1,10
1,1,Female,35,2,0.433333333,1,72,1,11
1,1,Female,35,2,0.433333333,1,72,1,12
1,1,Male,45,2,2.2,1,72,1,1
1,1,Male,45,2,2.2,1,72,1,2
1,1,Male,45,2,2.2,1,72,1,3
1,1,Male,45,2,2.2,1,72,1,4
1,1,Male,45,2,2.2,1,72,1,5
1,1,Male,45,2,2.2,1,72,1,6
1,1,Male,45,2,2.2,1,72,1,7
1,1,Male,45,2,2.2,1,72,1,8
1,1,Male,45,2,2.2,1,72,1,9
1,1,Male,45,2,2.2,1,72,1,10
1,1,Male,45,2,2.2,1,72,1,11
1,1,Male,45,2,2.2,1,72,1,12
1,1,Female,30,2,1.066666667,1,72,0,1
1,1,Female,30,2,1.066666667,1,72,1,2
1,1,Female,30,2,1.066666667,1,72,1,3
1,1,Female,30,2,1.066666667,1,72,0,4
1,1,Female,30,2,1.066666667,1,72,0,5
1,1,Female,30,2,1.066666667,1,72,1,6
1,1,Female,30,2,1.066666667,1,72,0,7
1,1,Female,30,2,1.066666667,1,72,0,8
1,1,Female,30,2,1.066666667,1,72,0,9
1,1,Female,30,2,1.066666667,1,72,1,10
1,1,Female,30,2,1.066666667,1,72,0,11
1,1,Female,30,2,1.066666667,1,72,0,12
1,1,Male,30,2,0.716666667,1,72,1,1
1,1,Male,30,2,0.716666667,1,72,1,2
1,1,Male,30,2,0.716666667,1,72,1,3
1,1,Male,30,2,0.716666667,1,72,1,4
1,1,Male,30,2,0.716666667,1,72,1,5
1,1,Male,30,2,0.716666667,1,72,1,6
1,1,Male,30,2,0.716666667,1,72,1,7
1,1,Male,30,2,0.716666667,1,72,1,8
1,1,Male,30,2,0.716666667,1,72,1,9
1,1,Male,30,2,0.716666667,1,72,1,10
1,1,Male,30,2,0.716666667,1,72,1,11
1,1,Male,30,2,0.716666667,1,72,1,12
