NumTree,correct_real,Gender,Delta_Learning_Minutes,Age,Number_of_bridges,Number_of_nodes,depth,Accuracy,correct_model
4,0.583333333,Male,0.733333333,65,10,5,4,82,0.583333333
2,0.333333333,Male,0.6,35,4,2,2,80,0.5
3,0.333333333,Male,0.2,35,6,3,3,81,0.25
3,0.833333333,Male,1.783333333,35,6,3,3,81,1
3,0.75,Male,0.75,35,6,3,3,81,0.916666667
3,0.75,Female,1.05,25,6,3,3,81,0.916666667
2,0.833333333,Male,1.116666667,37,4,2,2,80,1
4,0.666666667,Female,3.716666667,,10,5,4,82,0.833333333
1,0.666666667,Female,0.7,32,2,1,1,72,0.916666667
3,0.583333333,Male,0.083333333,35,6,3,3,81,0.416666667
3,0.833333333,Female,1.65,64,6,3,3,81,1
3,0.666666667,Female,2.283333333,35,6,3,3,81,0.5
1,0.75,Female,0.416666667,35,2,1,1,72,1
1,0.75,Male,0.533333333,36,2,1,1,72,1
3,0.583333333,Male,0.316666667,39,6,3,3,81,0.416666667
2,0.833333333,Female,1.683333333,57,4,2,2,80,1
2,0.833333333,Female,0.45,34,4,2,2,80,1
3,0.833333333,Female,1.983333333,61,6,3,3,81,1
