NumTree,QuestionId,Number_bridges_Of_Question_i,Gender,Age,Number_of_bridges,Delta_Learning_Minutes,depth,Accuracy,correct_model
2,10,2,Male,,7,0.683333333,2,80,1
2,11,2,Male,,7,0.683333333,2,80,1
2,12,2,Male,,7,0.683333333,2,80,1
2,1,2,Male,54,7,2.466666667,2,80,1
2,2,2,Male,54,7,2.466666667,2,80,1
2,3,2,Male,54,7,2.466666667,2,80,1
2,4,2,Male,54,7,2.466666667,2,80,1
2,5,2,Male,54,7,2.466666667,2,80,1
2,6,2,Male,54,7,2.466666667,2,80,1
2,7,2,Male,54,7,2.466666667,2,80,1
2,8,2,Male,54,7,2.466666667,2,80,1
2,9,2,Male,54,7,2.466666667,2,80,1
2,10,2,Male,54,7,2.466666667,2,80,1
2,11,2,Male,54,7,2.466666667,2,80,1
2,12,2,Male,54,7,2.466666667,2,80,1
2,1,2,Female,54,7,2.716666667,2,80,1
2,2,2,Female,54,7,2.716666667,2,80,1
2,3,2,Female,54,7,2.716666667,2,80,1
2,4,2,Female,54,7,2.716666667,2,80,0
2,5,2,Female,54,7,2.716666667,2,80,1
2,6,2,Female,54,7,2.716666667,2,80,1
2,7,2,Female,54,7,2.716666667,2,80,1
2,8,2,Female,54,7,2.716666667,2,80,1
2,9,2,Female,54,7,2.716666667,2,80,1
2,10,2,Female,54,7,2.716666667,2,80,1
2,11,2,Female,54,7,2.716666667,2,80,0
2,12,2,Female,54,7,2.716666667,2,80,1
2,1,2,Female,51,7,0.933333333,2,80,0
2,2,2,Female,51,7,0.933333333,2,80,1
2,3,2,Female,51,7,0.933333333,2,80,0
2,4,2,Female,51,7,0.933333333,2,80,0
2,5,2,Female,51,7,0.933333333,2,80,1
2,6,2,Female,51,7,0.933333333,2,80,1
2,7,2,Female,51,7,0.933333333,2,80,0
2,8,2,Female,51,7,0.933333333,2,80,1
2,9,2,Female,51,7,0.933333333,2,80,0
2,10,2,Female,51,7,0.933333333,2,80,1
2,11,2,Female,51,7,0.933333333,2,80,0
2,12,2,Female,51,7,0.933333333,2,80,0
2,1,2,Female,35,7,1.666666667,2,80,1
2,2,2,Female,35,7,1.666666667,2,80,1
2,3,2,Female,35,7,1.666666667,2,80,1
2,4,2,Female,35,7,1.666666667,2,80,1
2,5,2,Female,35,7,1.666666667,2,80,1
2,6,2,Female,35,7,1.666666667,2,80,1
2,7,2,Female,35,7,1.666666667,2,80,1
2,8,2,Female,35,7,1.666666667,2,80,1
2,9,2,Female,35,7,1.666666667,2,80,1
2,10,2,Female,35,7,1.666666667,2,80,1
2,11,2,Female,35,7,1.666666667,2,80,1
2,12,2,Female,35,7,1.666666667,2,80,1
2,1,2,Female,38,7,2.35,2,80,1
2,2,2,Female,38,7,2.35,2,80,1
2,3,2,Female,38,7,2.35,2,80,1
2,4,2,Female,38,7,2.35,2,80,1
2,5,2,Female,38,7,2.35,2,80,1
2,6,2,Female,38,7,2.35,2,80,1
2,7,2,Female,38,7,2.35,2,80,1
2,8,2,Female,38,7,2.35,2,80,1
2,9,2,Female,38,7,2.35,2,80,1
2,10,2,Female,38,7,2.35,2,80,1
2,11,2,Female,38,7,2.35,2,80,1
2,12,2,Female,38,7,2.35,2,80,1
2,1,2,Male,41,7,3.783333333,2,80,1
2,2,2,Male,41,7,3.783333333,2,80,1
2,3,2,Male,41,7,3.783333333,2,80,1
2,4,2,Male,41,7,3.783333333,2,80,1
2,5,2,Male,41,7,3.783333333,2,80,1
2,6,2,Male,41,7,3.783333333,2,80,1
2,7,2,Male,41,7,3.783333333,2,80,1
2,8,2,Male,41,7,3.783333333,2,80,1
2,9,2,Male,41,7,3.783333333,2,80,1
2,10,2,Male,41,7,3.783333333,2,80,1
2,11,2,Male,41,7,3.783333333,2,80,1
2,12,2,Male,41,7,3.783333333,2,80,1
2,1,2,Male,67,7,2.55,2,80,1
2,2,2,Male,67,7,2.55,2,80,1
2,3,2,Male,67,7,2.55,2,80,1
2,4,2,Male,67,7,2.55,2,80,1
2,5,2,Male,67,7,2.55,2,80,1
2,6,2,Male,67,7,2.55,2,80,0
2,7,2,Male,67,7,2.55,2,80,1
2,8,2,Male,67,7,2.55,2,80,1
2,9,2,Male,67,7,2.55,2,80,1
2,10,2,Male,67,7,2.55,2,80,1
2,11,2,Male,67,7,2.55,2,80,0
2,12,2,Male,67,7,2.55,2,80,0
2,1,2,Male,37,7,1.283333333,2,80,1
2,2,2,Male,37,7,1.283333333,2,80,0
2,3,2,Male,37,7,1.283333333,2,80,1
2,4,2,Male,37,7,1.283333333,2,80,1
2,5,2,Male,37,7,1.283333333,2,80,0
2,6,2,Male,37,7,1.283333333,2,80,1
2,7,2,Male,37,7,1.283333333,2,80,0
2,8,2,Male,37,7,1.283333333,2,80,0
2,9,2,Male,37,7,1.283333333,2,80,0
2,10,2,Male,37,7,1.283333333,2,80,1
2,11,2,Male,37,7,1.283333333,2,80,0
2,12,2,Male,37,7,1.283333333,2,80,0
2,1,2,Male,26,7,1.233333333,2,80,1
2,2,2,Male,26,7,1.233333333,2,80,1
2,3,2,Male,26,7,1.233333333,2,80,1
2,4,2,Male,26,7,1.233333333,2,80,1
2,5,2,Male,26,7,1.233333333,2,80,1
2,6,2,Male,26,7,1.233333333,2,80,1
2,7,2,Male,26,7,1.233333333,2,80,1
2,8,2,Male,26,7,1.233333333,2,80,1
2,9,2,Male,26,7,1.233333333,2,80,1
2,10,2,Male,26,7,1.233333333,2,80,1
2,11,2,Male,26,7,1.233333333,2,80,1
2,12,2,Male,26,7,1.233333333,2,80,1
2,1,2,Female,57,7,0.683333333,2,80,0
2,2,2,Female,57,7,0.683333333,2,80,1
2,3,2,Female,57,7,0.683333333,2,80,0
