NumTree,Gender,Delta_Learning_Minutes,Age,Number_of_bridges,Number_of_nodes,depth,Accuracy,correct_model,correct_real
3,Male,1.183333333,58,26,10,4,89,0.5,0.416666667
2,Female,2.6,34,7,3,2,80,1,0.833333333
2,Male,2.033333333,48,7,3,2,80,0.583333333,0.583333333
2,Male,1.416666667,25,7,3,2,80,0.916666667,0.75
5,Male,0.75,43,5,2,2,75,1,0.75
1,Female,1.7,25,2,1,1,60,1,0.583333333
1,Male,0.566666667,25,2,1,1,60,0.583333333,0.5
2,Female,1.666666667,35,7,3,2,80,1,0.833333333
2,Female,2.15,36,7,3,2,80,0.833333333,0.666666667
3,Male,0.5,41,26,10,4,89,0.666666667,0.583333333
1,Female,1.15,35,2,1,1,60,1,0.583333333
5,Male,1.416666667,35,5,2,2,75,0.916666667,0.666666667
5,Female,1.616666667,30,5,2,2,75,1,0.75
1,Female,1.016666667,24,2,1,1,60,0.416666667,0.5
4,Male,1.05,33,4,2,2,68,1,0.666666667
5,Male,2.583333333,32,5,2,2,75,1,0.75
3,Female,0.833333333,32,26,10,4,89,0.666666667,0.75
1,Female,2.116666667,56,2,1,1,60,1,0.583333333
1,Male,1,48,2,1,1,60,1,0.583333333
2,Male,2.216666667,34,7,3,2,80,0.416666667,0.416666667
3,Male,1.65,35,26,10,4,89,0.583333333,0.5
4,Male,0.733333333,30,4,2,2,68,0.583333333,0.25
2,Female,2.783333333,45,7,3,2,80,0.833333333,0.666666667
2,Male,1.083333333,34,7,3,2,80,1,0.833333333
3,Female,0.666666667,35,26,10,4,89,0.583333333,0.5
5,Female,2.3,31,5,2,2,75,0.916666667,0.666666667
3,Female,1.566666667,50,26,10,4,89,0.5,0.416666667
5,Female,2.033333333,45,5,2,2,75,0.916666667,0.666666667
4,Male,0.55,42,4,2,2,68,0.666666667,0.5
3,Female,2.4,33,26,10,4,89,0.5,0.583333333
1,Male,2.05,44,2,1,1,60,1,0.583333333
3,Female,2.783333333,33,26,10,4,89,1,0.916666667
5,Female,1.35,37,5,2,2,75,1,0.75
5,Female,3.1,36,5,2,2,75,0.833333333,0.583333333
5,Female,1.8,45,5,2,2,75,1,0.75
2,Male,2.766666667,42,7,3,2,80,1,0.833333333
3,Male,1.15,52,26,10,4,89,0.583333333,0.5
2,Female,1.5,51,7,3,2,80,1,0.833333333
5,Female,2,46,5,2,2,75,1,0.75
2,Female,2.35,38,7,3,2,80,1,0.833333333
1,Male,1.216666667,43,2,1,1,60,1,0.583333333
2,Female,0.933333333,51,7,3,2,80,0.416666667,0.416666667
5,Female,3.066666667,37,5,2,2,75,0.75,0.5
1,Female,2.15,47,2,1,1,60,1,0.583333333
3,Male,0.766666667,29,26,10,4,89,0.5,0.416666667
1,Female,0.966666667,42,2,1,1,60,1,0.583333333
4,Male,1.533333333,31,4,2,2,68,1,0.666666667
3,Male,2.35,23,26,10,4,89,0.5,0.416666667
2,Female,0.683333333,57,7,3,2,80,0.25,0.25
5,Male,2.083333333,30,5,2,2,75,0.583333333,0.333333333
4,Male,4.2,45,4,2,2,68,1,0.666666667
5,Male,2.2,54,5,2,2,75,1,0.75
1,Female,0.783333333,67,2,1,1,60,0.666666667,0.416666667
3,Male,1.316666667,25,26,10,4,89,0.75,0.666666667
3,Female,0.683333333,37,26,10,4,89,0.5,0.583333333
1,Female,0.533333333,24,2,1,1,60,0.583333333,0.5
3,Male,2.7,35,26,10,4,89,0.5,0.416666667
4,Female,1.266666667,48,4,2,2,68,1,0.666666667
2,Male,0.716666667,25,7,3,2,80,0.416666667,0.583333333
5,Female,1.833333333,35,5,2,2,75,0.833333333,0.583333333
3,Male,2.6,35,26,10,4,89,0.5,0.416666667
4,Female,2.65,30,4,2,2,68,0.833333333,0.5
3,Male,1.033333333,36,26,10,4,89,0.5,0.583333333
4,Female,1.316666667,37,4,2,2,68,0.583333333,0.25
3,Female,2.616666667,26,26,10,4,89,0.833333333,0.75
5,Male,4.316666667,33,5,2,2,75,1,0.75
